,Lecture Name,Length,Links
Week 2,L1.12_Superposition,12:25,https://hello.iitk.ac.in/esc201a21/#/lecture/100
Week 2,L1.13_Power Transfer in DC Circuits,07:57,https://hello.iitk.ac.in/esc201a21/#/lecture/101
Week 3,L2.0_Passive Components,10:52,https://hello.iitk.ac.in/esc201a21/#/lecture/126
Week 3,L2.1a_Capacitor and Capacitance,23:43,https://hello.iitk.ac.in/esc201a21/#/lecture/128
Week 3,L2.1b_Inductor and Inductance,13:00,https://hello.iitk.ac.in/esc201a21/#/lecture/129
Week 3,L2.2_DC ckt switching - initial and final values,21:59,https://hello.iitk.ac.in/esc201a21/#/lecture/145
Week 3,L2.1c_General Points on C and L,27:05,https://hello.iitk.ac.in/esc201a21/#/lecture/130
Week 3,L2.3a_Discharging C thorugh R,19:50,https://hello.iitk.ac.in/esc201a21/#/lecture/149
Week 3,L2.3b_Charging C with V source through R,20:08,https://hello.iitk.ac.in/esc201a21/#/lecture/150
Week 3,L2.4_RL Transient Analysis,17:07,https://hello.iitk.ac.in/esc201a21/#/lecture/151
